His rheumy eyes began to cloud.	A sus ojos rheumy comenzó a nube.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"We, as a nation, no longer value military heroism in ways that were entirely common in World War II," said retired Lt. Gen. David Barno, who commanded U.S. troops in Afghanistan.	"Nosotros, como nación, ya no valor heroísmo militar en formas que eran muy comunes en la Segunda Guerra Mundial", dijo el teniente general David Barno jubilado, que comandó las tropas estadounidenses en Afganistán.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
For Mexico, the relationship with the United States is complicated and filled with hard feelings.	Para México, la relación con los Estados Unidos es complicado y lleno de rencores.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Navarrette says Mexican-Americans are caught between two worlds	Dice Navarrette mexicano-estadounidenses están atrapados entre dos mundos	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
He goes on about the ersatz food in Germany.	Él va sobre el sucedáneo de alimentos en Alemania.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
It contains few big names, major treaties or famous battles; there are almost no ambassadors, dashing journalists or discussions of tactics and materiel.	Contiene pocos grandes nombres, grandes tratados o batallas famosas; casi no hay embajadores, periodistas corriendo o debates de tácticas y equipamiento bélico.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Her English, like that of most people here, is flawless.	El español, al igual que la de la mayoría de la gente aquí, es impecable.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Support Workers' Union Will Sue City Over Layoffs	Apoyo a los trabajadores "Unión va a demandar ciudad más despidos	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"Nowhere will it be more difficult to site a licensed cannabis business than in urban areas, particularly in the Seattle metropolitan area," said Ben Livingston, a spokesman for the Center for Legal Cannabis, a recently formed research group.	"En ningún lugar será más difícil de instalar un negocio de cannabis con licencia que en las zonas urbanas, especialmente en el área metropolitana de Seattle", dijo Ben Livingston, un portavoz del Centro de Estudios Legales Cannabis, un grupo de investigación formado recientemente.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
All around us people are eating little cubes of the fish and knocking back quantities of drink.	Todo lo que nos rodea personas comen poco cubos de pescado y llamando a las cantidades de beber.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Tripoli fell to Libyan rebels in August, and Gaddafi was killed Oct. 20.	Trípoli cayó a rebeldes libios en agosto, y Gadafi murió oct. 20.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Mass Slaughter on a Personal Level	El sacrificio masivo en un nivel personal	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The operation was kept secret from all but a few high-ranking officers, with others initially being told that they were embarking on an exercise.	La operación fue mantenido en secreto de todos, pero algunos oficiales de alto rango, con otros inicialmente se les dijo que estaban embarcando en un ejercicio.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
He said he contemplated suicide in Kuwait and once passed out there due to the heat.	Dijo que tenía el suicidio en Kuwait y una vez aprobada allí debido al calor.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The last training session was on Monday night, on the Manhattan side of the East River.	La última sesión de capacitación fue el lunes por la noche, en el lado del East River en Manhattan.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Most Tory freshers pretend they're Labour.	La mayoría de Tory freshers fingir son los laboristas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Controversial Oil Pipeline Plan to Be Rerouted After Threat of Delayed U.S. Approval	El polémico plan de oleoducto será desviado de su ruta tras las amenazas de retraso de la aprobación de los Estados Unidos	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
City officials have categorically denied that accusation.	Funcionarios de la ciudad han negado categóricamente esa acusación.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
I spent five unexpected hours in an airport this Thanksgiving holiday when our plane had mechanical difficulties and we had to wait for another plane to arrive.	Pasé cinco horas inesperado en un aeropuerto de esta fiesta del Día de Acción de Gracias, cuando el avión tuvo problemas mecánicos y tuvimos que esperar otro avión para llegar.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
With apathy, he said, there is no urge to do something.	Con la apatía, dijo, no hay necesidad de hacer algo.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"Once one is resigned to the thought of sacrificing oneself, one would like to think that it might happen in front of an audience," he writes.	"Una vez que uno está resignado a la idea de sacrificar a uno mismo, nos gustaría pensar que podría pasar delante de un público", escribe.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
For some researchers, the beauty of Facebook is that it lets you study people you couldn't approach with a clipboard on the street.	Para algunos investigadores, la belleza de Facebook es que deja usted estudio de personas que no pudieron con un enfoque clipboard en la calle.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The cuts would eventually hit combat troops, Panetta said.	Los recortes afectarían en algún momento a nuestras tropas de combate, dijo Panetta.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Easy - just log on to Facebook.	Fácil: Basta con conectarse a Facebook.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Walls Have Eyes: How Researchers Are Studying You on Facebook	Paredes tienen ojos: Cómo los investigadores estudian usted en Facebook	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
A man falls off his chair, perhaps overcome with aquavit.	Un hombre se cae de su silla, tal vez vencido por el aquavit.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
People begin to ask why their leaders are making them fight.	La gente empieza a preguntarse por qué sus dirigentes están haciendo ellos lucha.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Despite killing some of its leaders and bottling up Gaza's 1.7m people in one of the most wretched and crowded corners of the planet, Israel has failed to destroy Hamas.	A pesar de la muerte de algunos de sus líderes y negarlo 1.7m de Gaza personas en uno de los más miserables y concurridos rincones del planeta, Israel ha conseguido destruir a Hamás.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
His book has the most devastating ending I can remember in a piece of nonfiction.	Su libro tiene el más devastador fin puedo recordar en un trozo de nonfiction.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Would I be forced to meet like-minded people only after dark?	Estaría obligado a atender a personas afines sólo después de la oscuridad?	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The defense has said it plans to have Manning plead guilty to lesser offenses and fight other charges as being too extreme.	La defensa ha dicho que planea tener Manning declararse culpable de delitos menores y luchar contra otros cargos por ser demasiado extremas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The politics of the miners" strike, privatisation and the government's opposition to sanctions against apartheid South Africa were brought into the wood-panelled rooms of the tutorial.	La política de la huelga de los mineros ", la privatización y la oposición del gobierno a las sanciones contra el apartheid en Sudáfrica fueron llevados a las salas con paneles de madera del tutorial.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Conversely a British soldier realizes that he will most likely die, and that no one will notice or care.	A la inversa, un soldado británico es consciente de que lo más probable es que mueren, y que nadie se entere o atención.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"I thought he seemed cold and inhuman," one Utoya survivor told Norwegian broadcaster NRK.	"Pensé que parecía frío e inhumanos", dijo uno de los supervivientes de Utoya radiodifusora noruega NRK.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
People from Sweden, the old rival and not so long ago far richer than Norway, stream in to work.	La gente de Suecia, el antiguo rival y no hace mucho mucho más ricos que Noruega, llegando a trabajar.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Officers would ask Manning questions and write down his responses.	Los oficiales pediría Manning preguntas y escribir sus respuestas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Honestly, there's only one reason I'd stop, and that's my little girl.	Honestamente, sólo hay una razón me gustaría detener, y esa es mi niña.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
I thought, no, he's 19.	Pensé, no, él 19.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Kid Rock sang a ballad about helplessness, frustration and loss.	Guante de Rock entonaron un canto de impotencia, frustración y pérdida.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Chief Oates said that the police would enforce city codes regulating medical marijuana growers, and that they would still pursue drug traffickers and dealers.	El jefe Oates dijo que la policía hacer cumplir los códigos de la ciudad que regulan los cultivadores de marihuana médica, y que seguirían adelante con los traficantes de drogas y distribuidores.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
And Panetta said that some of the biggest defense projects could face the ax, including those already being tested and some just in early stages of planning.	Y Panetta dijo que algunos de los mayores proyectos de defensa podría enfrentar la responden, incluidos los ya ensayados y algunos sólo en las primeras etapas de la planificación.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
His lawyers hope the judge will at least take his experiences during confinement into account and sharply reduce his sentence should he be convicted at his court-martial, which is expected to begin early next year.	Sus abogados esperan que el juez al menos tener en cuenta sus experiencias durante el parto y reducir drásticamente su sentencia debe ser condenado por el tribunal militar, que se espera que comience a principios del año próximo.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Goodlatte's is just one of 68 constitutional amendments that have been introduced this Congress, spanning a wide range of topics.	Goodlatte es sólo uno de los 68 enmiendas constitucionales que se han introducido este Congreso, que abarca una amplia gama de temas.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
It was a second-year English student named James who introduced himself as a member of the OUCA.	Era un estudiante de segundo año de inglés James que se presentó como miembro del OUCA.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Luke Black, 20, vice-president of Nottingham University Conservative Association, told a Sunday newspaper that "there is a growing Left-wing bias at universities.	Lucas Black, 20, vicepresidente de la Asociación de los conservadores de la Universidad de Nottingham, dijo a un periódico dominical que "hay una creciente tendencia de izquierda en las universidades.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
This footage, slightly re-edited, is the basis of the 68-minute Steve Jobs: The Lost Interview, coming to Landmark Theaters this Wednesday and Thursday.	Este vídeo, ligeramente reeditados, es la base de la 68-minute Steve Jobs: The Lost Interview, llegando a Landmark Theaters este miércoles y jueves.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
This is not an outcome that we can live with, and it is certainly not one that we should impose on ourselves.	"Esto no es un resultado que podemos vivir con, y ciertamente no es algo que deberíamos imponernos".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
With the rest of the Arab world becoming more democratic, depriving Palestinians of their right to self-determination is creating a powder keg that is bound one day to explode in the territories occupied by Israel - much as a bus exploded in Tel Aviv this week.	Con el resto del mundo árabe cada vez más democrática, privando a los palestinos de su derecho a la autodeterminación está creando un polvorín que tiene un día para estallar en los territorios ocupados por Israel, tanto como un autobús explotó en Tel Aviv esta semana.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Inwardly blushing with shame, I admitted to being "brainwashed by my parents" and called them "old fools."	Interiormente sentada sin sonrojarse, me reconoció ser "el cerebro de mis padres" y los llamó "viejo tontos".	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Even if the ceasefire agreed on November 21st holds, this week's fighting has strengthened the hawks on both sides.	Incluso si el alto el fuego acordado el 21 de noviembre, los combates de esta semana ha fortalecido los halcones en ambos bandos.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Not so, says Peter Toohey, a professor of Greek and Roman history at the University of Calgary in Canada and the author of "Boredom: A Lively History" (Yale University Press, 2011).	No es así, dice Peter Toohey, profesor de historia griega y romana en la Universidad de Calgary en Canadá y el autor de "aburrimiento: Un Lively History" (Yale University Press, 2011).	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Besides, we're aware that many of the elite Mexicans in the ruling class don't like us.	Además, somos conscientes de que muchos de los mexicanos de elite en la clase gobernante no como nosotros.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
As her mother recounts the story, a picture of Mariana looks down from the walls, next to a cross bearing a single word: Justice.	Como su madre relata la historia, una imagen de Mariana mira hacia abajo de las paredes, junto a una cruz con una sola palabra: La justicia.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"Someone came up behind me and said, "Do you know what your daughter is doing?" I said "yes" and went to pick her up," she said.	"Alguien llegó detrás de mí y me dijo:" ¿Sabes lo que su hija está haciendo? ", me dijo" sí "y se fue a buscarla", dijo.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Mr. Kelly said many people, almost like commuters, had been coming and going from the park during the day, making 1 a.m. a good time to move in.	El Sr. Kelly dijo que muchas personas, casi como abono, había sido próximos y que van desde el parque durante el día, a la 1 de la madrugada un buen momento para avanzar en.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Panetta has been increasingly outspoken about the possible cuts, although he came to the top Pentagon job with years of budget expertise himself in Congress and the White House and knowing that he was facing tough choices.	Panetta ha sido cada vez más abiertamente sobre los posibles recortes, aunque llegó a la cima del presupuesto del Pentágono de trabajo con años de experiencia en el Congreso y la Casa Blanca y a sabiendas de que era objeto de decisiones difíciles.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Vallejo, former mayor of the state capital of Morelia, denied ties to drug traffickers and urged the other candidates to accept the results.	Vallejo, ex alcalde de la capital estatal de Morelia, niega vínculos con traficantes de drogas e instó a los demás candidatos a aceptar los resultados.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The respite was short.	La tregua fue breve.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
"If you are a tobacco marketer and you've only got this small window left to promote your products, online is the compelling place for you to be in," said Becky Freeman, a public health researcher at Sydney University.	"Si eres un vendedor del tabaco y que sólo obtuvo esta pequeña ventana izquierda para promocionar sus productos, en línea es el lugar de peso para estar en", dijo Becky Freeman, un investigador de la salud pública en la Universidad de Sydney.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
The hotel I am staying in is one of a number of venues hosting a rakfisk dinner where guests vote on the best - or perhaps the most nasally challenging - fish.	El hotel me hospedo en es uno de varios centros de acogida de una cena rakfisk donde los huéspedes votar sobre el mejor -o quizás el más difícil nasally - pescado.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Filed in February by Susan Burke, a Washington, D.C., attorney, the suit initially involved 17 plaintiffs but grew to 28 in the following months - 25 women and three men, all of whom allege that they were raped or sexually assaulted by fellow soldiers, and that the military failed to investigate, prosecute, or provide adequate justice after the alleged attacks.	Presentada en febrero por Susan Burke, Washington, D.C., abogado, el pleito inicialmente implicados 17 demandantes, pero creció a 28 en los siguientes meses - 25 mujeres y tres hombres, todos los cuales alegan que fueron violadas y agredidas sexualmente por sus soldados, y que los militares se negaron a investigar, procesar, o brindar una adecuada justicia después de los supuestos ataques.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
Right now, 119 people face charges of possessing two ounces or less of marijuana, though many are facing other charges.	Actualmente, 119 personas se enfrentan a cargos de posesión de dos gramos o menos de marihuana, aunque muchos se enfrentan a otros cargos.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
While Breivik may have acted alone, he was far from alone in cyberspace: he had spent much of the time leading up to his attack at his computer, chatting with some of the millions of nationalists who support right-wing groups on social-networking sites.	Mientras que Breivik puede haber actuado solo, estaba lejos de solos en el ciberespacio: Ha pasado gran parte de los días que precedieron a su ataque en su computadora, charlando con algunos de los millones de nacionalistas que apoyar a los grupos de derecha en los sitios de las redes sociales.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
So if your child is bored and you give him an iPad, he may not be bored anymore, but he hasn't learned how to entertain himself, or self regulate, Professor Fenske said.	Así que si su hijo es aburrido y se le dé un iPad, él ya no puede ser aburrido, pero él no ha aprendido a entretener a sí mismo, o regular, el profesor Fenske dijo.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
In a concrete home typical of the rundown neighbourhood, Irinea Buendia struggles to fight back the tears as she shows me photos of her late daughter, Mariana Luna.	En una casa de hormigón típico del barrio venido, Irinea Buendia luchas para luchar contra las lágrimas como ella me muestra fotos de su hija, Mariana Luna.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
That would do more to create a Palestinian state than the imminent bid for virtual statehood at the UN.	Esto podría hacer más para crear un estado palestino que la inminente apuesta por un Estado virtual en la ONU.	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)	WMT13 translation task (http://www.statmt.org/wmt13/translation-task.html)
